GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",1431,343,1354,346,21,33,0,12,30,32,0,12,26,40,0,12,0,12,0,12
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",1367,290,1225,263,45,55,0,12,48,44,0,12,27,43,22,34,0,12,22,34
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",1209,332,1078,295,0,12,12,20,103,93,0,12,0,12,16,26,0,12,16,26
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",1202,311,1127,304,0,12,0,12,75,71,0,12,0,12,0,12,0,12,0,12
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",3685,384,2653,403,295,124,0,12,508,177,0,12,33,38,196,112,37,43,159,106
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",1208,347,1069,326,44,66,0,12,67,55,0,12,19,23,9,16,0,12,9,16
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",752,222,735,224,0,12,0,12,11,17,0,12,0,12,6,8,0,12,6,8
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",887,251,807,242,54,73,0,12,16,21,0,12,0,12,10,16,0,12,10,16
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",1970,459,1471,534,260,314,8,16,127,58,0,12,5,11,99,56,6,14,93,57
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",1174,290,1134,288,0,12,0,12,16,26,0,12,24,40,0,12,0,12,0,12
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",1486,306,1237,272,0,12,13,20,89,77,0,12,0,12,147,133,68,100,79,85
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",1593,612,1086,341,221,271,0,12,241,186,0,12,0,12,45,51,23,36,22,35
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",1842,372,1692,304,142,214,0,12,0,12,0,12,0,12,8,13,0,12,8,13
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",529,132,433,113,37,40,0,12,53,65,0,12,0,12,6,9,0,12,6,9
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",1049,178,832,161,52,50,0,12,77,45,0,12,21,28,67,46,0,12,67,46
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",1835,350,1510,331,97,63,49,70,107,62,0,12,0,12,72,77,0,12,72,77
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1667,226,1345,220,58,57,38,60,42,40,0,12,103,139,81,61,18,28,63,54
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",1547,185,1334,187,30,30,0,12,116,73,0,12,15,23,52,43,11,18,41,37
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",1426,181,1226,200,94,61,0,12,48,40,0,12,25,31,33,38,0,12,33,38
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",1220,340,917,233,155,130,0,12,14,24,0,12,56,85,78,120,78,120,0,12
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",852,197,677,194,84,89,0,12,91,87,0,12,0,12,0,12,0,12,0,12
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",753,184,687,196,13,21,0,12,35,41,0,12,0,12,18,27,0,12,18,27
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",1897,296,1543,308,223,111,0,12,63,49,0,12,6,14,62,58,0,12,62,58
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",1261,293,826,207,217,199,0,12,155,153,0,12,0,12,63,77,0,12,63,77
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",1388,384,972,339,98,108,0,12,57,69,0,12,52,72,209,207,33,38,176,204
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",1614,319,1491,288,27,42,0,12,0,12,0,12,44,65,52,75,0,12,52,75
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",982,299,741,238,15,23,0,12,226,228,0,12,0,12,0,12,0,12,0,12
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",1409,282,1242,276,39,43,8,15,120,91,0,12,0,12,0,12,0,12,0,12
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",908,233,713,222,121,121,0,12,60,58,0,12,0,12,14,22,14,22,0,12
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",999,317,824,319,15,25,0,12,45,54,0,12,80,81,35,44,0,12,35,44
1500000US110010008011,110010008011,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",2150,345,1567,253,212,215,19,28,98,84,0,12,183,181,71,87,0,12,71,87
1500000US110010008012,110010008012,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",815,220,679,189,15,23,0,12,13,18,0,12,0,12,108,103,0,12,108,103
1500000US110010008013,110010008013,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",2478,539,2148,421,116,106,0,12,38,44,0,12,133,124,43,54,0,12,43,54
1500000US110010008014,110010008014,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",1132,447,821,374,20,20,0,12,146,89,0,12,20,27,125,78,4,10,121,76
1500000US110010008021,110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",1880,247,1241,226,275,187,0,12,218,113,0,12,14,22,132,78,37,41,95,72
1500000US110010008022,110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",1273,281,1109,236,67,82,0,12,71,93,0,12,26,29,0,12,0,12,0,12
1500000US110010009011,110010009011,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",1551,227,1343,213,47,44,0,12,46,37,0,12,21,19,94,78,0,12,94,78
1500000US110010009012,110010009012,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",1688,296,1488,268,82,69,0,12,81,87,0,12,21,26,16,19,0,12,16,19
1500000US110010009013,110010009013,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",4551,765,3569,820,501,264,8,14,278,124,0,12,89,73,106,64,13,22,93,66
1500000US110010009021,110010009021,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",888,181,782,161,42,49,0,12,35,31,0,12,10,16,19,28,0,12,19,28
1500000US110010009022,110010009022,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",1567,171,1411,174,24,28,0,12,44,32,0,12,20,30,68,46,0,12,68,46
1500000US110010010011,110010010011,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia",935,303,658,256,22,35,0,12,70,52,0,12,0,12,185,154,0,12,185,154
1500000US110010010012,110010010012,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia",1941,299,1602,270,99,73,0,12,137,111,0,12,12,19,91,85,0,12,91,85
1500000US110010010013,110010010013,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia",1168,184,1010,213,0,12,0,12,72,91,0,12,0,12,86,108,0,12,86,108
1500000US110010010014,110010010014,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia",1904,377,1676,358,75,62,0,12,46,42,0,12,52,76,55,58,0,12,55,58
1500000US110010010015,110010010015,"Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia",801,227,674,208,0,12,0,12,25,39,0,12,0,12,102,154,0,12,102,154
1500000US110010010016,110010010016,"Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia",1145,253,967,238,15,23,0,12,74,59,0,12,0,12,89,83,0,12,89,83
1500000US110010010021,110010010021,"Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia",1262,405,956,398,36,40,0,12,193,141,0,12,21,33,56,59,0,12,56,59
1500000US110010010022,110010010022,"Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia",1307,273,1073,220,130,90,0,12,104,125,0,12,0,12,0,12,0,12,0,12
1500000US110010010023,110010010023,"Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia",928,255,751,260,28,32,0,12,84,83,0,12,0,12,65,62,0,12,65,62
1500000US110010011001,110010011001,"Block Group 1, Census Tract 11, District of Columbia, District of Columbia",1986,291,1675,285,203,175,0,12,85,68,0,12,0,12,23,42,0,12,23,42
1500000US110010011002,110010011002,"Block Group 2, Census Tract 11, District of Columbia, District of Columbia",1317,263,941,231,171,124,0,12,125,103,0,12,54,88,26,43,0,12,26,43
1500000US110010011003,110010011003,"Block Group 3, Census Tract 11, District of Columbia, District of Columbia",760,189,659,202,91,89,0,12,0,12,0,12,0,12,10,18,10,18,0,12
1500000US110010011004,110010011004,"Block Group 4, Census Tract 11, District of Columbia, District of Columbia",754,204,545,199,28,39,0,12,79,58,0,12,0,12,102,114,0,12,102,114
1500000US110010012001,110010012001,"Block Group 1, Census Tract 12, District of Columbia, District of Columbia",1825,279,1268,227,224,169,0,12,75,66,0,12,63,78,195,155,20,29,175,136
1500000US110010012002,110010012002,"Block Group 2, Census Tract 12, District of Columbia, District of Columbia",944,300,794,309,71,73,0,12,30,54,0,12,49,76,0,12,0,12,0,12
1500000US110010012003,110010012003,"Block Group 3, Census Tract 12, District of Columbia, District of Columbia",734,226,688,243,0,12,0,12,46,73,0,12,0,12,0,12,0,12,0,12
1500000US110010012004,110010012004,"Block Group 4, Census Tract 12, District of Columbia, District of Columbia",1405,297,1217,290,13,13,0,12,158,76,0,12,2,6,15,25,0,12,15,25
1500000US110010013011,110010013011,"Block Group 1, Census Tract 13.01, District of Columbia, District of Columbia",1771,349,1527,331,118,81,0,12,106,66,0,12,0,12,20,32,0,12,20,32
1500000US110010013012,110010013012,"Block Group 2, Census Tract 13.01, District of Columbia, District of Columbia",677,226,441,160,133,169,0,12,42,47,0,12,0,12,61,105,0,12,61,105
1500000US110010013013,110010013013,"Block Group 3, Census Tract 13.01, District of Columbia, District of Columbia",1568,372,1184,321,235,124,0,12,94,68,0,12,34,43,21,32,0,12,21,32
1500000US110010013021,110010013021,"Block Group 1, Census Tract 13.02, District of Columbia, District of Columbia",2409,385,1666,317,176,133,0,12,418,250,0,12,86,84,63,71,0,12,63,71
1500000US110010013022,110010013022,"Block Group 2, Census Tract 13.02, District of Columbia, District of Columbia",4549,543,3570,538,397,339,0,12,140,125,0,12,290,246,152,156,20,33,132,146
1500000US110010013023,110010013023,"Block Group 3, Census Tract 13.02, District of Columbia, District of Columbia",633,266,466,249,0,12,0,12,145,95,0,12,0,12,22,34,0,12,22,34
1500000US110010014011,110010014011,"Block Group 1, Census Tract 14.01, District of Columbia, District of Columbia",2209,198,1639,218,259,122,0,12,167,82,0,12,124,159,20,20,0,12,20,20
1500000US110010014012,110010014012,"Block Group 2, Census Tract 14.01, District of Columbia, District of Columbia",1160,176,1101,178,1,2,7,12,16,17,0,12,13,21,22,27,0,12,22,27
1500000US110010014021,110010014021,"Block Group 1, Census Tract 14.02, District of Columbia, District of Columbia",884,170,737,141,32,36,0,12,48,53,0,12,0,12,67,63,0,12,67,63
1500000US110010014022,110010014022,"Block Group 2, Census Tract 14.02, District of Columbia, District of Columbia",887,158,736,155,99,71,0,12,31,28,0,12,0,12,21,30,0,12,21,30
1500000US110010014023,110010014023,"Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia",1557,316,941,234,239,98,21,35,215,140,0,12,101,94,40,40,0,12,40,40
1500000US110010015001,110010015001,"Block Group 1, Census Tract 15, District of Columbia, District of Columbia",1654,510,1110,293,380,355,0,12,71,62,0,12,0,12,93,95,0,12,93,95
1500000US110010015002,110010015002,"Block Group 2, Census Tract 15, District of Columbia, District of Columbia",1139,355,1041,348,0,12,0,12,0,12,0,12,0,12,98,135,0,12,98,135
1500000US110010015003,110010015003,"Block Group 3, Census Tract 15, District of Columbia, District of Columbia",937,288,793,287,129,82,0,12,15,27,0,12,0,12,0,12,0,12,0,12
1500000US110010015004,110010015004,"Block Group 4, Census Tract 15, District of Columbia, District of Columbia",1645,395,1402,365,188,130,0,12,55,64,0,12,0,12,0,12,0,12,0,12
1500000US110010015005,110010015005,"Block Group 5, Census Tract 15, District of Columbia, District of Columbia",975,263,901,253,0,12,0,12,0,12,0,12,19,31,55,87,0,12,55,87
1500000US110010016001,110010016001,"Block Group 1, Census Tract 16, District of Columbia, District of Columbia",1202,235,320,135,807,225,0,12,11,18,0,12,15,23,49,41,8,13,41,34
1500000US110010016002,110010016002,"Block Group 2, Census Tract 16, District of Columbia, District of Columbia",612,167,170,99,412,147,0,12,0,12,0,12,0,12,30,21,0,12,30,21
1500000US110010016003,110010016003,"Block Group 3, Census Tract 16, District of Columbia, District of Columbia",679,188,159,86,501,193,0,12,6,7,0,12,0,12,13,18,13,18,0,12
1500000US110010016004,110010016004,"Block Group 4, Census Tract 16, District of Columbia, District of Columbia",1682,303,465,133,1161,326,9,14,0,12,0,12,25,29,22,26,0,12,22,26
1500000US110010017021,110010017021,"Block Group 1, Census Tract 17.02, District of Columbia, District of Columbia",1620,296,790,151,637,240,0,12,13,22,9,14,153,183,18,20,0,12,18,20
1500000US110010017022,110010017022,"Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia",1463,277,475,168,858,189,0,12,27,30,0,12,38,40,65,54,3,8,62,53
1500000US110010018031,110010018031,"Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia",1350,274,184,115,922,167,0,12,16,25,0,12,85,132,143,204,9,14,134,203
1500000US110010018032,110010018032,"Block Group 2, Census Tract 18.03, District of Columbia, District of Columbia",2692,339,190,121,1690,282,8,15,0,12,0,12,745,323,59,49,12,19,47,45
1500000US110010018041,110010018041,"Block Group 1, Census Tract 18.04, District of Columbia, District of Columbia",1091,308,129,133,801,273,36,50,60,102,0,12,65,73,0,12,0,12,0,12
1500000US110010018042,110010018042,"Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia",1832,626,515,569,1203,403,0,12,17,23,0,12,97,147,0,12,0,12,0,12
1500000US110010018043,110010018043,"Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia",2696,635,326,234,1603,478,0,12,17,27,0,12,736,478,14,23,0,12,14,23
1500000US110010019011,110010019011,"Block Group 1, Census Tract 19.01, District of Columbia, District of Columbia",1117,271,107,90,1010,272,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010019012,110010019012,"Block Group 2, Census Tract 19.01, District of Columbia, District of Columbia",987,329,82,63,696,217,0,12,0,12,0,12,170,277,39,48,0,12,39,48
1500000US110010019013,110010019013,"Block Group 3, Census Tract 19.01, District of Columbia, District of Columbia",1095,279,253,139,668,180,0,12,38,68,0,12,136,153,0,12,0,12,0,12
1500000US110010019014,110010019014,"Block Group 4, Census Tract 19.01, District of Columbia, District of Columbia",798,271,206,143,532,250,0,12,48,65,0,12,12,18,0,12,0,12,0,12
1500000US110010019021,110010019021,"Block Group 1, Census Tract 19.02, District of Columbia, District of Columbia",1503,315,188,86,1055,254,6,10,10,15,0,12,201,187,43,39,0,12,43,39
1500000US110010019022,110010019022,"Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia",834,161,93,61,641,194,0,12,11,11,0,12,44,57,45,46,5,8,40,45
1500000US110010020011,110010020011,"Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia",1435,288,148,69,726,190,72,107,74,71,0,12,387,195,28,32,5,8,23,30
1500000US110010020012,110010020012,"Block Group 2, Census Tract 20.01, District of Columbia, District of Columbia",1413,218,695,193,513,167,6,11,24,25,0,12,132,133,43,38,13,17,30,33
1500000US110010020021,110010020021,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia",1074,337,315,149,388,175,0,12,21,32,0,12,306,240,44,65,0,12,44,65
