GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",951,227,292,116,231,114,61,46,41,49,0,12,20,32,0,12,0,12,198,88,86,63,0,12,112,79,0,12,0,12,0,12,0,12,0,12,291,135,71,114,99,80
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",912,234,264,133,255,132,9,14,9,14,0,12,0,12,0,12,0,12,234,138,80,71,0,12,154,132,0,12,0,12,0,12,0,12,75,63,196,106,18,29,125,93
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",673,224,237,155,220,154,17,28,0,12,0,12,17,28,0,12,0,12,126,73,86,62,0,12,40,44,0,12,0,12,0,12,17,29,60,49,99,64,61,84,73,61
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",597,186,241,120,241,120,0,12,0,12,0,12,0,12,0,12,0,12,75,53,63,54,0,12,12,20,0,12,0,12,17,27,0,12,61,59,75,56,0,12,128,128
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",1222,308,75,79,26,33,49,55,24,32,0,12,0,12,25,35,0,12,79,57,22,37,12,26,45,39,0,12,0,12,33,39,0,12,7,17,913,255,0,12,115,79
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",611,213,223,82,204,89,19,31,17,29,2,9,0,12,0,12,0,12,250,195,224,195,0,12,26,26,0,12,0,12,6,10,0,12,0,12,52,38,0,12,80,45
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",341,100,149,63,136,59,13,22,13,22,0,12,0,12,0,12,0,12,115,63,107,61,0,12,8,12,0,12,0,12,7,11,0,12,18,21,43,34,0,12,9,15
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",457,207,113,42,113,42,0,12,0,12,0,12,0,12,0,12,0,12,250,208,222,208,0,12,28,30,0,12,0,12,0,12,0,12,12,15,28,29,0,12,54,39
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",825,218,226,97,204,93,22,21,10,18,0,12,0,12,12,20,0,12,77,46,58,35,0,12,19,25,0,12,0,12,28,37,0,12,0,12,424,182,0,12,70,52
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",753,200,331,117,301,116,30,47,30,47,0,12,0,12,0,12,0,12,125,81,111,68,0,12,14,23,0,12,0,12,57,65,0,12,15,24,119,96,0,12,106,79
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",1048,185,525,165,503,153,22,36,22,36,0,12,0,12,0,12,0,12,331,119,279,106,0,12,52,54,0,12,0,12,0,12,0,12,33,37,56,48,0,12,103,96
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",997,369,505,135,461,138,44,68,0,12,44,68,0,12,0,12,0,12,161,108,161,108,0,12,0,12,0,12,0,12,0,12,0,12,30,32,275,275,0,12,26,28
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",1267,282,657,206,596,196,61,58,61,58,0,12,0,12,0,12,0,12,306,129,223,103,0,12,83,66,0,12,0,12,21,27,0,12,21,34,170,191,0,12,92,80
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",245,55,165,42,149,39,16,18,10,11,6,9,0,12,0,12,0,12,20,16,8,11,11,12,1,2,0,12,0,12,0,12,0,12,17,16,4,11,4,6,35,23
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",532,101,287,74,222,61,65,45,65,45,0,12,0,12,0,12,0,12,36,32,30,31,0,12,6,11,0,12,0,12,0,12,0,12,5,8,68,38,14,17,122,59
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",1252,276,474,167,346,166,128,100,108,79,20,31,0,12,0,12,0,12,607,196,63,59,0,12,501,144,43,69,0,12,0,12,0,12,53,44,67,77,0,12,51,48
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1287,205,443,160,389,163,54,56,54,56,0,12,0,12,0,12,0,12,568,150,0,12,0,12,568,150,0,12,0,12,26,41,0,12,62,49,136,91,14,22,38,42
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",1011,157,356,85,225,63,131,68,114,63,7,10,0,12,10,17,0,12,425,99,50,36,0,12,370,93,5,8,0,12,0,12,0,12,50,46,96,57,8,13,76,55
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",1077,168,313,89,273,79,40,37,22,26,0,12,18,27,0,12,0,12,661,164,122,72,0,12,539,137,0,12,0,12,0,12,0,12,0,12,43,30,9,14,51,31
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",805,243,260,127,260,127,0,12,0,12,0,12,0,12,0,12,0,12,485,173,20,33,0,12,465,173,0,12,0,12,0,12,0,12,0,12,60,70,0,12,0,12
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",479,145,123,80,123,80,0,12,0,12,0,12,0,12,0,12,0,12,220,105,17,28,0,12,203,101,0,12,0,12,10,16,0,12,52,62,40,47,0,12,34,53
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",384,100,218,100,191,98,27,23,27,23,0,12,0,12,0,12,0,12,126,48,68,40,0,12,58,43,0,12,0,12,0,12,0,12,0,12,31,42,0,12,9,15
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",1163,232,705,186,581,190,124,111,87,93,37,61,0,12,0,12,0,12,323,165,96,124,0,12,227,120,0,12,0,12,0,12,0,12,53,66,12,21,13,21,57,46
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",757,177,342,124,173,85,169,106,158,105,0,12,0,12,0,12,11,17,304,138,291,138,0,12,13,18,0,12,0,12,0,12,0,12,29,34,67,57,0,12,15,24
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",782,229,501,171,443,163,58,66,58,66,0,12,0,12,0,12,0,12,224,137,160,110,0,12,64,78,0,12,0,12,0,12,0,12,0,12,47,39,0,12,10,18
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",919,227,633,213,502,142,131,146,111,142,20,35,0,12,0,12,0,12,139,73,111,67,0,12,28,31,0,12,0,12,45,61,0,12,0,12,55,85,0,12,47,42
