GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",852,232,0,12,53,47,58,55,220,116,89,63,179,118,112,117,17,27,13,22,0,12,83,56,28,43
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",787,208,0,12,45,43,109,80,229,129,104,86,67,60,148,131,0,12,22,22,29,36,16,25,18,29
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",600,211,0,12,101,89,120,97,108,59,52,36,55,54,147,115,17,27,0,12,0,12,0,12,0,12
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",469,122,0,12,0,12,47,43,105,70,137,88,22,39,75,47,28,32,16,25,39,49,0,12,0,12
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",1107,284,126,80,436,160,320,148,77,68,41,43,15,24,23,30,0,12,19,31,39,38,8,18,3,3
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",531,212,0,12,0,12,54,38,62,39,180,148,53,51,135,84,23,23,5,10,14,16,5,9,0,12
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",332,97,41,39,41,32,19,21,78,54,69,46,18,21,47,34,0,12,0,12,8,12,11,18,0,12
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",403,203,0,12,19,25,26,31,30,24,54,39,25,23,194,198,12,18,8,12,27,29,8,13,0,12
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",755,208,69,44,112,78,190,137,122,58,28,25,69,68,61,41,24,24,13,18,56,55,0,12,11,17
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",647,189,0,12,49,42,84,77,114,83,78,67,54,52,129,80,30,35,40,42,55,52,14,23,0,12
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",945,192,0,12,32,36,37,36,105,67,207,110,52,46,170,93,42,47,41,40,195,98,64,68,0,12
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",971,365,0,12,207,264,75,61,202,104,116,84,117,93,50,43,0,12,14,24,139,77,51,60,0,12
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",1175,280,11,18,104,148,54,66,156,76,189,116,79,57,171,95,28,32,108,83,208,100,55,50,12,18
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",210,49,0,12,5,7,30,21,34,22,53,25,33,24,19,15,21,17,10,11,0,12,0,12,5,7
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",410,82,32,31,3,4,27,28,103,48,111,55,26,19,46,24,6,9,23,21,8,8,7,7,18,27
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",1201,269,21,33,7,16,20,34,163,87,313,137,140,75,229,142,54,60,74,81,84,63,53,50,43,69
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1249,200,16,25,53,72,61,48,221,93,325,127,112,67,194,91,8,13,127,80,31,36,62,51,39,45
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",935,151,11,18,36,38,39,44,150,62,307,102,59,33,169,68,39,32,36,30,59,45,22,21,8,13
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",1026,164,0,12,54,40,15,20,47,35,215,93,96,61,284,89,69,33,170,84,46,31,30,24,0,12
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",805,243,0,12,0,12,59,57,133,97,194,105,47,44,231,118,32,36,27,34,43,51,39,45,0,12
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",445,136,0,12,17,30,38,44,77,90,87,60,89,51,76,46,13,22,33,32,15,23,0,12,0,12
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",375,102,0,12,10,19,48,45,54,40,0,12,30,34,78,60,23,36,34,56,30,34,41,46,27,32
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",1106,231,0,12,0,12,45,45,187,138,142,93,191,107,279,121,39,44,94,67,43,34,45,57,41,49
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",742,174,0,12,15,24,29,35,205,96,149,79,42,48,103,97,44,42,11,19,118,69,15,25,11,17
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",772,229,0,12,0,12,79,71,181,119,150,110,64,65,153,94,24,28,45,43,76,81,0,12,0,12
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",872,226,0,12,19,29,98,78,155,148,266,119,82,62,103,60,33,38,17,27,61,49,16,24,22,35
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",470,148,43,71,32,36,70,110,14,22,15,24,41,38,133,82,25,29,15,24,50,45,22,36,10,16
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",1047,217,0,12,8,13,92,88,141,92,144,100,125,77,210,91,14,23,117,82,118,80,59,45,19,31
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",502,150,0,12,0,12,50,42,12,20,38,39,24,28,202,111,14,23,27,31,58,41,77,65,0,12
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",796,301,0,12,14,22,13,21,39,37,103,103,23,28,308,229,68,52,53,45,88,73,61,62,26,30
1500000US110010008011,110010008011,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",1103,306,0,12,0,12,65,52,208,105,197,90,92,65,287,221,52,50,100,64,24,40,78,78,0,12
1500000US110010008012,110010008012,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",332,117,0,12,15,24,21,35,86,61,84,57,38,42,19,32,18,28,34,38,17,25,0,12,0,12
1500000US110010008013,110010008013,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",938,219,44,43,78,69,90,89,177,89,138,74,53,52,151,79,40,45,105,94,37,42,25,42,0,12
1500000US110010008014,110010008014,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",574,272,9,20,57,79,38,42,122,104,82,62,21,33,119,114,82,94,22,34,4,9,0,12,18,27
1500000US110010008021,110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",1049,154,12,18,7,13,41,27,184,90,228,79,57,38,139,54,46,47,48,36,238,91,41,38,8,13
1500000US110010008022,110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",465,115,0,12,40,49,15,16,91,50,71,46,0,12,88,69,5,8,65,39,68,50,22,20,0,12
1500000US110010009011,110010009011,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",514,113,17,19,11,19,0,12,70,45,118,60,0,12,182,92,16,19,49,35,42,30,9,13,0,12
1500000US110010009012,110010009012,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",606,148,9,14,23,37,80,54,77,44,117,53,70,36,130,71,30,27,36,45,21,23,0,12,13,21
1500000US110010009013,110010009013,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",1050,253,65,47,131,85,116,72,111,64,119,64,32,29,211,121,37,32,37,32,96,51,46,45,49,43
1500000US110010009021,110010009021,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",432,83,0,12,33,29,26,23,65,29,68,33,82,56,68,34,20,17,21,17,23,24,14,20,12,15
1500000US110010009022,110010009022,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",731,123,19,28,28,19,58,37,130,58,107,38,73,42,110,52,29,29,50,33,87,38,22,27,18,20
1500000US110010010011,110010010011,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia",418,126,11,19,25,30,45,51,57,44,28,34,16,27,101,69,44,53,38,42,36,35,17,26,0,12
1500000US110010010012,110010010012,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia",910,205,0,12,51,43,43,70,92,94,137,89,95,69,222,90,41,39,80,68,114,93,35,31,0,12
1500000US110010010013,110010010013,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia",473,137,16,26,16,26,19,30,18,28,112,68,45,45,111,57,92,69,0,12,44,37,0,12,0,12
1500000US110010010014,110010010014,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia",813,198,0,12,4,8,40,35,16,22,51,49,100,71,226,133,118,130,143,136,105,72,0,12,10,22
1500000US110010010015,110010010015,"Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia",363,115,16,27,47,67,29,34,61,31,41,44,29,33,19,29,0,12,33,37,71,50,0,12,17,27
1500000US110010010016,110010010016,"Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia",523,129,0,12,0,12,31,34,31,35,32,34,85,57,212,105,54,48,58,67,0,12,20,31,0,12
1500000US110010010021,110010010021,"Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia",671,207,0,12,77,76,212,185,76,64,54,84,0,12,12,20,18,26,7,13,199,128,16,25,0,12
1500000US110010010022,110010010022,"Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia",1051,253,19,34,72,55,81,62,106,100,212,101,98,71,128,76,83,62,65,44,118,80,38,46,31,48
1500000US110010010023,110010010023,"Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia",485,173,0,12,53,76,0,12,45,44,61,63,33,34,158,104,33,28,0,12,96,65,6,13,0,12
1500000US110010011001,110010011001,"Block Group 1, Census Tract 11, District of Columbia, District of Columbia",996,190,0,12,25,22,33,37,31,37,136,88,131,77,156,82,158,96,85,62,201,85,19,32,21,33
1500000US110010011002,110010011002,"Block Group 2, Census Tract 11, District of Columbia, District of Columbia",566,174,26,34,15,25,32,33,33,35,51,46,62,50,187,93,70,52,35,38,55,51,0,12,0,12
1500000US110010011003,110010011003,"Block Group 3, Census Tract 11, District of Columbia, District of Columbia",451,110,0,12,16,25,35,40,56,50,67,48,44,40,170,107,0,12,0,12,63,51,0,12,0,12
1500000US110010011004,110010011004,"Block Group 4, Census Tract 11, District of Columbia, District of Columbia",326,96,24,37,5,11,0,12,7,12,18,29,88,49,50,47,0,12,25,39,71,70,37,40,1,3
1500000US110010012001,110010012001,"Block Group 1, Census Tract 12, District of Columbia, District of Columbia",1030,202,0,12,16,26,103,76,36,41,192,107,36,31,286,123,50,41,126,69,138,87,47,43,0,12
1500000US110010012002,110010012002,"Block Group 2, Census Tract 12, District of Columbia, District of Columbia",570,197,0,12,29,33,22,21,44,47,98,88,86,81,203,119,38,33,29,36,21,34,0,12,0,12
